NAME                                    VERSION                                             TYPE                     
perl-URI                                5.09-3.el9                                          rpm                      
perl-base                               0:2.27-481.1.el9_6                                  rpm                      
perl-constant                           1.33-461.el9                                        rpm                      
perl-if                                 0:0.60.800-481.1.el9_6                              rpm                      
perl-interpreter                        4:5.32.1-481.1.el9_6                                rpm                      
perl-lib                                0:0.65-481.1.el9_6                                  rpm                      
perl-libnet                             3.13-4.el9                                          rpm                      
perl-libs                               4:5.32.1-481.1.el9_6                                rpm                      
perl-mro                                0:1.23-481.1.el9_6                                  rpm                      
perl-overload                           0:1.31-481.1.el9_6                                  rpm                      
perl-overloading                        0:0.02-481.1.el9_6                                  rpm                      
perl-parent                             1:0.238-460.el9                                     rpm                      
perl-podlators                          1:4.14-460.el9                                      rpm                      
perl-srpm-macros                        1-41.el9                                            rpm                      
perl-subs                               0:1.03-481.1.el9_6                                  rpm                      
perl-threads                            1:2.25-460.el9                                      rpm                      
perl-threads-shared                     1.61-460.el9                                        rpm                      
perl-vars                               0:1.05-481.1.el9_6                                  rpm                      
